state,date,death,hospitalized,positive
MO,2021-02-27,7920,,477950
MP,2021-02-27,2,4,143
MS,2021-02-27,6669,9012,294091
MT,2021-02-27,1356,4579,99837
NC,2021-02-27,11212,,858548
ND,2021-02-27,1472,3866,99780
NE,2021-02-27,2082,6099,200681
NH,2021-02-27,1170,1114,75166
NJ,2021-02-27,23238,63664,786967
NM,2021-02-27,3700,13097,184888
NV,2021-02-27,4957,,293488
NY,2021-02-27,38407,,1622865
OH,2021-02-27,17237,50197,966154
OK,2021-02-27,4379,23909,423802
OR,2021-02-27,2206,8570,154878
PA,2021-02-27,23937,,929697
PR,2021-02-27,2032,,100044
RI,2021-02-27,2512,8900,126093
SC,2021-02-27,8498,20340,515072
SD,2021-02-27,1886,6610,112293
TN,2021-02-27,11393,18586,773887
TX,2021-02-27,42739,,2640209
UT,2021-02-27,1929,14664,370770
VA,2021-02-27,8382,24091,574314
VI,2021-02-27,25,,2646
VT,2021-02-27,204,,15098
WA,2021-02-27,4956,19275,338822
WI,2021-02-27,7014,26088,616886
WV,2021-02-27,2297,,131580
WY,2021-02-27,671,1381,54350
AK,2021-02-26,290,1277,55989
AL,2021-02-26,9869,45428,491849
AR,2021-02-26,5407,14747,318638
AS,2021-02-26,0,,0
AZ,2021-02-26,15897,57460,814528
CA,2021-02-26,51382,,3465726
CO,2021-02-26,5940,23438,426198
CT,2021-02-26,7622,,279946
DC,2021-02-26,1009,,40284
DE,2021-02-26,1418,,86098
FL,2021-02-26,31162,80238,1863453
GA,2021-02-26,17219,55778,1000822
GU,2021-02-26,130,,7734
HI,2021-02-26,437,2214,28166
IA,2021-02-26,5463,,279429
ID,2021-02-26,1850,7057,170595
IL,2021-02-26,22675,,1183667
IN,2021-02-26,12531,42708,660071
KS,2021-02-26,4735,9249,293663
KY,2021-02-26,4600,18981,402926
LA,2021-02-26,9587,,428592
MA,2021-02-26,16024,19444,577980
MD,2021-02-26,7838,34848,380436
ME,2021-02-26,701,1519,44295
MI,2021-02-26,16438,,644125
MN,2021-02-26,6462,25683,482978
MO,2021-02-26,7913,,477472
MP,2021-02-26,2,4,143
MS,2021-02-26,6638,9012,293542
MT,2021-02-26,1354,4571,99613
NC,2021-02-26,11186,,855905
ND,2021-02-26,1472,3864,99711
NE,2021-02-26,2078,6088,200403
NH,2021-02-26,1167,1109,74893
NJ,2021-02-26,23192,63560,782833
NM,2021-02-26,3685,13079,184736
NV,2021-02-26,4942,,293029
NY,2021-02-26,38321,,1614724
OH,2021-02-26,17183,50118,964380
OK,2021-02-26,4320,23879,423023
OR,2021-02-26,2204,8551,154554
PA,2021-02-26,23937,,926336
PR,2021-02-26,2023,,99860
RI,2021-02-26,2502,8900,125622
SC,2021-02-26,8477,20275,513295
